id;start_position;end_position
228662;0;24304
231564;0;24111
239541;0;15835
240692;0;3894
240717;0;2828
241000;0;28862
241004;0;24670
241008;0;22612
241012;0;20337
241016;0;20453
241021;0;19533
241026;0;18821
241031;0;17035
241036;0;17352
241041;0;18357
241046;0;15443
241051;0;13582
241061;0;12656
241066;0;12622
245653;0;21607
245661;0;20590
245669;0;21102
245677;0;32819
246200;0;10536
252894;0;28590
253267;0;9704
255264;18;28533
255268;18;28760
255272;18;29067
256429;2775;26700
256864;0;64720
261148;0;20887
262461;0;16992
263570;0;16136
265123;8656;42504
268056;0;19752
268060;0;18806
268065;0;19310
268070;0;18393
268075;0;16545
268080;0;13906
268085;0;15561
273963;0;22584
276989;0;61877
276994;0;61100
276999;0;60424
277004;0;35796
277009;0;30146
277019;0;36224
277024;0;44445
277029;0;45391
277034;0;37504
277039;0;24134
277044;0;23210
277049;0;23258
277058;0;20574
278631;0;88099
278635;0;81037
278639;0;91480
278643;0;76394
278652;0;86039
278656;0;75775
278660;0;62604
278858;50;24322
278862;50;22660
284358;0;26855
300038;0;45860
300042;0;39761
300051;0;39605
305181;35809;84389
305185;32083;78202
305189;31286;86105
306760;86982;128960
309007;39107;98210
310863;0;56519
311739;42238;98747
311897;0;93385
311901;0;86780
311905;0;89765
311909;0;90924
311913;0;117279
311917;0;119123
311921;0;123966
311925;0;111867
316159;0;54216
316163;0;50186
316167;0;50013
316171;0;49005
316175;0;48189
316179;0;58644
316195;0;46686
316678;0;24569
316682;0;23893
322015;82365;140446
322019;74290;127868
322023;71983;124556
322027;69481;118755
322775;76009;141999
323491;0;71281
323496;0;60356
323505;0;40311
323510;0;32433
323515;0;32309
323529;0;35922
325043;72901;124755
326005;0;88389
345163;50415;115953
345167;44342;106751
345171;45258;108232
345175;45297;107466
277054;0;21516
291689;40999;64738
291697;40332;63775
308987;27750;82894
308995;28114;83617
308999;28297;83865
315913;9877;16079